file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0148_0156_986339_to_990844,ཁ་ཚ་དགོས་གཏུགས་ཀི་དུས་ཅིག་ཆགས་བསྡད་ཡོད་རེད། དེ་འདྲའི་ཅིག་ཆགས་བསྡད་པའི་སྐབས་འདི་ལ།  ,kha tsha dgos gtugs ki dus cig chags bsdad yod red/_de 'dra'i cig chags bsdad pa'i skabs 'di la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0148_0156_986339_to_990844.wav,STT_PC,3,83,4.505,wav16k/STT_PC0148_0156_986339_to_990844.wav,ཁ་ཚ་དགོས་འདུས་ཀི་དུ་གཅིག་ཆགས་བསྡད་ཡོད་རེད། དེ་འདྲས་ཅིག་ཆགས་བསྡད་པའི་སྐབས་འདི་ལ།
STT_CS-X-2016-M-D-B02-2-R-01_0046_332824_to_338762,ང་འདུག་ག ད་ང་ཁང་པ་གཅིག་ནང་འགྲོ་དགོས་རཱ།  ,nga 'dug ga_da nga khang pa gcig nang 'gro dgos rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2016-M-D-B02-2-R-01_0046_332824_to_338762.wav,STT_CS,3,41,5.938,wav16k/STT_CS-X-2016-M-D-B02-2-R-01_0046_332824_to_338762.wav,ང་འདུག་ག ད་ང་ྷང་པ་བྱིག་ནས་འགྲོ་དགོས་ར།
STT_MV0279_0105_779936_to_788527,སང་ཉིན་ཆུ་ཚོད་ག་ཚོད་ལ་ཐོན་མྱི་རེད། ཆུ་ཚོད་བཅུ་པར།  ,sang nyin chu tshod ga tshod la thon myi red/_chu tshod bcu par/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0279_0105_779936_to_788527.wav,STT_MV,3,51,8.591,wav16k/STT_MV0279_0105_779936_to_788527.wav,སང་ཉིན་ཆུ་ཚོད་ག་ཚོད་ལ་ཐོན་མྱི་རེད། ཆུ་ཚོད་བཅུ་པ།
STT_PC0148_0174_1154701_to_1158267,ཚང་མས་འཁྱེར་དགོས་རེད་བསམ་ཡ་འདི་ངའི་ཚོར་བ་སླེབས་ཀི་འདུག ,tshang mas 'khyer dgos red bsam ya 'di nga'i tshor ba slebs ki 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0148_0174_1154701_to_1158267.wav,STT_PC,3,55,3.566,wav16k/STT_PC0148_0174_1154701_to_1158267.wav,ཚང་མས་འཁྱེར་དགོས་རེད་བསམ་ཡ་དེ། ངའི་ཚོར་བ་སླེབ་ཀི་འདུག
STT_PC0148_0178_1175452_to_1178131,བུད་མེད་ཡིན་ན་རེད། བུ་ཡིན་ན་རེད། ཚང་མ་ལ་ང་ཚོ།  ,bud med yin na red/_bu yin na red/_tshang ma la nga tsho/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0148_0178_1175452_to_1178131.wav,STT_PC,3,47,2.679,wav16k/STT_PC0148_0178_1175452_to_1178131.wav,བུད་མེད་ཡིན་ན་རེད། བུ་ཡིན་ན་རེད། ཚང་མ་ལ་ང་ཚོ།
STT_NS_M0489_0578_3461373_to_3464240,ཆོ་མེད་རྒྱོ་འདྲ་བོ་མཐོང་གི་འདུག སོ་སོ་སོ་བསམ་བློ་བཏང་ཡ་རེད་ད་ཡོད་བ། ཨོ་ཨེ་འདྲའི་འདྲ་བོ་རེད།  ,cho med rgyo 'dra bo mthong gi 'dug_so so so bsam blo btang ya red da yod ba/_o e 'dra'i 'dra bo red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0578_3461373_to_3464240.wav,STT_NS,3,93,2.867,wav16k/STT_NS_M0489_0578_3461373_to_3464240.wav,ཆོ་མེད་རྒྱོ་འདྲ་བོ་མཐོང་གི་འདུག སོ་ས་སོ་སོས་བསམ་བློ་བཏང་ཡ་རེད་ད་ཡོད་བ། ཨོ་ཨེ་འདྲའི་འདྲ་བོ་རེད།
STT_AB00245_0216_1571151_to_1580179,བཏང་མིན་དེ་ནི་ཁོང་གཉིས་ཀྱི་འབྲེལ་བ་གང་འདྲས་སེ་ཐག་གཅོད་ཐུབ་མིན་རྗེས་མའི་ལེ་ཚན་ནང་ཞུ་གི་ཡིན་པས་ལྷན་རྒྱས་ཀྱི་དུས་ཐོག་ཏུ་གསན་རོགས་གནང་ ,btang min de ni khong gnyis kyi 'brel ba gang 'dras se thag gcod thub min rjes ma'i le tshan nang zhu gi yin pas lhan rgyas kyi dus thog tu gsan rogs gnang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00245_0216_1571151_to_1580179.wav,STT_AB,3,131,9.028,wav16k/STT_AB00245_0216_1571151_to_1580179.wav,སཏང་མིན། དེ་མིན་ཁོ་གཉིས་ཀྱི་འབྲེལ་བ་གང་འདྲ་སེ་ཐག་གཅོད་ཐུབ་མིན་རྗེས་མའི་ལེ་ཚལ་ནང་ཞུ་གི་ཡིན་པས་ལྷན་རྒྱས་ཀྱིས་དུས་ཐོག་ཏུ་གསན་རོགས་གནང་།
STT_AB00246_0010_63319_to_70213,མོའི་སྐད་ཆ་ཡ་མ་ཟུང་དེས་དོན་གྲུབ་མགོ་འཐོམས་ནས་ཅི་ཤོད་དེ་ཤོད་མ་བྱུང་སྐབས། འཆི་མེད་དབང་མོས་གད་མོ་དགོད་བཞིན།  ,mo'i skad cha ya ma zung des don grub mgo 'thoms nas ci shod de shod ma byung skabs/_'chi med dbang mos gad mo dgod bzhin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00246_0010_63319_to_70213.wav,STT_AB,3,106,6.894,wav16k/STT_AB00246_0010_63319_to_70213.wav,མོའི་སྐད་ཆ་ཡ་མ་ཟུག་དེས་དོན་གྲུབ་མགོ་འཐོམ་ནས་ཅི་ཤོད་འདི་ཤོས་མ་བྱུང་སྐབས་འཆི་མེད་དབང་མོས་གད་མོ་དགོད་བཞིན་
STT_AB00246_0029_209746_to_221498,ཀྱི་བདེ་འཇགས་ཐད་སེམས་ཁྲལ་བྱེད་པ་སྨོས་མེད་ཁར། ད་དུང་ཁོ་གཉིས་ལ་སེམས་ཁྲལ་ཐོལ་པ་ཞིག་ཡོད་པ་ནི། ཕུན་ཚོགས་ལ་བུ་མོ་གཡོ་ཅན་མ་འདྲ་ཐུག་པ་མིན་ནམ། གལ་སྲིད་དེ་འདྲས་ཡིན་ན་ཁོས་ངའི་ཕ་དང་བུ་མོ་ ,kyi bde 'jags thad sems khral byed pa smos med khar/_da dung kho gnyis la sems khral thol pa zhig yod pa ni/_phun tshogs la bu mo g.yo can ma 'dra thug pa min nam/_gal srid de 'dras yin na khos nga'i pha dang bu mo _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00246_0029_209746_to_221498.wav,STT_AB,3,176,11.752,wav16k/STT_AB00246_0029_209746_to_221498.wav,ཀྱི་བདེ་འཇགས་ཐད་སེམས་ཁྲལ་བྱེད་པ་སྨོས་མེད་ཁར། ད་དུང་ཁོ་གཉིས་ལ་སེམས་ཁྲལ་ཐོལ་པ་ཞིག་ཡོད་པ་ནི་ཕུན་ཚོགས་ལ་བུ་མོ་གཡོ་ཅན་མ་འདྲག་ཐུག་པ་མིན་ནམ། གལ་སྲིད་དེ་འདྲ་ཡིན་ན་ཁོས་ངེད་ཕ་དང་བུ་མོ་
STT_NS_M0486_0247_1977067_to_1979436,ཕར་ལ་ག་རེ་འདུག་ལབ་ན་རཱ། ཁོ་རང་ཚོ་གི་ད།  ,phar la ga re 'dug lab na rA/_kho rang tsho gi da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0486_0247_1977067_to_1979436.wav,STT_NS,3,40,2.369,wav16k/STT_NS_M0486_0247_1977067_to_1979436.wav,ཕར་ལ་ག་རེ་འདུག་ལབ་ན་རཱ། ཁོ་རང་ཚོ་གི་ད།
STT_AB00246_0021_149982_to_161186,ཡི་གེ་ཡོད་མིན་འདྲི་རྩད་བྱེད་ཀྱི་ཡོད། དོན་གྲུབ་དང་རྡོ་རྗེས་ཀྱང་ཧུར་བརྩོན་ཆེན་པོས་ཕྱི་ལ་འགྲོ་ཞོར་དུ། ཚགས་པར་སྐྱེལ་མཁན་ལ་ཡི་གེ་ཡོད་མིན་སྐད་ཆ་འདྲི་གི་ཡོད་པས་ཚགས་པར་སྐྱེལ་མཁན་གྱིས་ ,yi ge yod min 'dri rtsad byed kyi yod/_don grub dang rdo rjes kyang hur brtson chen pos phyi la 'gro zhor du/_tshags par skyel mkhan la yi ge yod min skad cha 'dri gi yod pas tshags par skyel mkhan gyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00246_0021_149982_to_161186.wav,STT_AB,3,176,11.204,wav16k/STT_AB00246_0021_149982_to_161186.wav,ཡི་གེ་ཡོད་མིན་འདྲི་རྩད་བྱེད་ཀྱི་ཡོད། དོན་གྲུབ་དང་རྡོ་རྗེས་ཀྱང་ཧུར་བརྩོན་ཆེན་པོས་ཕྱི་ལ་འབྲོ་ཞོར་དུ་ཚགས་པར་སྐྱེལ་མཁན་ལ་ཡི་གེ་ཡོད་མིན་སྐད་ཆ་འདྲི་ཡི་ཡོད་པས་ཚགས་པར་སྐྱེལ་མཁན་གྱིས་
STT_CS-L-2012_2013-M_M-D_D-B05_B04-5_5-R_R-01_0085_538410_to_544798,ཧམ་པ་ག་རེ་བྱས་ནས་ཡ། འདི་སྨན་ཁང་ཤོད་བཟོ་ཡི་འདུག་ག་ཨ་ནས། ཨ་ནས་ཕ་གི་དེ་ཁྱིམ་ཚང་རཱ།  ,ham pa ga re byas nas ya/_'di sman khang shod bzo yi 'dug ga a nas/_a nas pha gi de khyim tshang rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2013-M_M-D_D-B05_B04-5_5-R_R-01_0085_538410_to_544798.wav,STT_CS,3,81,6.388,wav16k/STT_CS-L-2012_2013-M_M-D_D-B05_B04-5_5-R_R-01_0085_538410_to_544798.wav,ཧམ་པ་ག་རེ་བྱས་ནས་ཡོད་བ། འདི་སྨན་ཁ་ཤོགས་བཟོ་ཡི་འདུག་ག་ཨ་ནས། ཨ་ནས་ཕར་ཕྱོགས་དེ་ཁྱིམ་ཚང་རཱ།
STT_AB00246_0020_138779_to_149982,གཟའ་འཁོར་རེའི་རེས་གཟའ་ཟླ་བའི་ཉིན་རྫོང་ནས་ཚགས་པར་དང་ཡི་གེ་སྐྱེལ་མཁན་ཡོང་གི་ཡོད་པས། ཚེ་བརྟན་ལྷ་མོ་དང་ཕུན་ཚོགས་ཀྱི་གཅུང་མོ་གཉིས་ཀྱིས་རང་འགུལ་གྱིས་ཀུང་ཧྲེའི་ཚགས་པར་སྐྱེལ་མཁན་སར་ཕྱིན་ཏེ་ ,gza' 'khor re'i res gza' zla ba'i nyin rdzong nas tshags par dang yi ge skyel mkhan yong gi yod pas/_tshe brtan lha mo dang phun tshogs kyi gcung mo gnyis kyis rang 'gul gyis kung hre'i tshags par skyel mkhan sar phyin te _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00246_0020_138779_to_149982.wav,STT_AB,3,182,11.203,wav16k/STT_AB00246_0020_138779_to_149982.wav,གཟའ་འཁོར་རེ་རེས་གཟའ་ཟླ་བའི་ཉིན་རྫོང་ནས་ཚགས་པར་དང་ཡི་གེ་སྐྱེལ་མཁན་ཡོང་གི་ཡོད་པས། ཚེ་བརྟན་ལྷ་མོ་དང་ཕུན་ཚོགས་ཀྱི་གཅུང་མོ་གཉིས་ཀྱིས་རང་འགུལ་གྱིས་ཀུང་ཧྲེའི་ཚགས་པར་སྐྱེལ་མཁན་སར་ཕྱིན་ཏེ་
STT_AB00247_0035_273404_to_285008,བཞོན་རྟ་དང་འབྲོང་ཁ་ལོ་བསྒྱུར་བྱས་སྣ་ལོ་བྱེད་འདོད་ཟེར་བ་ནང་བཞིན་རེད་ཅེས་སྨྲས། ཚེ་བརྟན་ལྷ་མོས་སྐད་ཆ་དེ་དག་གོ་སྐབས་རྣ་བར་སིང་སྒྲ་གྲགས་པ་དང་མདུན་གྱི་ས་གཞི་ཡང་ནག་འཐོམ་འཐོམ་དུ་བྱས།  ,bzhon rta dang 'brong kha lo bsgyur byas sna lo byed 'dod zer ba nang bzhin red ces smras/_tshe brtan lha mos skad cha de dag go skabs rna bar sing sgra grags pa dang mdun gyi sa gzhi yang nag 'thom 'thom du byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00247_0035_273404_to_285008.wav,STT_AB,3,176,11.604,wav16k/STT_AB00247_0035_273404_to_285008.wav,བཞོན་རྟ་དང་འགྲོང་ཁ་ལོ་བསྒྱུར་བྱས་སྣ་ལོ་བྱེད་འདོད་ཟེར་བ་ནང་བཞིན་རེད་ཅེས་སྨྲས། ཚེ་བརྟན་ལྷ་མོས་སྐད་ཆ་དེ་དག་གོ་སྐབས་རྣ་བར་སིང་སྒྲ་གྲགས་པ་དང་མདུན་གྱི་ས་གཞི་ཡང་ནགས་ཐོམ་སྟོང་དུ་བྱས།
STT_AB00247_0113_874752_to_881715,ད་ལོའི་དགུན་ཁའི་གནམ་གཤིས་རྣམ་ཀུན་ལས་གྲང་བ་ཡོད་པ་འདྲ་ཞེས་བཤད་པར་དོན་གྲུབ་ཀྱིས་གནམ་གཤིས་གྲང་མོ་ཡོད་མ་རེད།  ,da lo'i dgun kha'i gnam gshis rnam kun las grang ba yod pa 'dra zhes bshad par don grub kyis gnam gshis grang mo yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00247_0113_874752_to_881715.wav,STT_AB,3,105,6.963,wav16k/STT_AB00247_0113_874752_to_881715.wav,ད་ལོ་དགུན་ཁའི་གནམ་གཤིས་རྣམ་ཀུན་ལས་གྲང་ང་ཡོད་པ་འདྲ་ཞེས་བཤད་པར་དོན་གྲུབ་ཀྱིས་གནམ་གཤིས་གྲང་མོ་ཡོད་མ་རེད།
STT_AB00247_0015_107960_to_118566,ཁང་པའི་ཕྱི་ནས་ཡུད་ཆེ་བའི་གློ་གསང་ཞིག་གྲགས་པ་དང་། གོམ་སྒྲ་ཐག་ཇེ་ཉེར་འགྲོ་བ་དང་བསྟུན་ནས་ཡེ་ཤེས་དཔལ་བཟང་གིས་ཕོར་པ་འཇོག་ཁོམ་མ་བྱུང་གོང་། ཁང་པའི་ནང་དུ་སྐྱེས་པ་གཟུགས་སྟོབས་ཆེན་པོ་ཞིག ,khang pa'i phyi nas yud che ba'i glo gsang zhig grags pa dang /_gom sgra thag je nyer 'gro ba dang bstun nas ye shes dpal bzang gis phor pa 'jog khom ma byung gong /_khang pa'i nang du skyes pa gzugs stobs chen po zhig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00247_0015_107960_to_118566.wav,STT_AB,3,177,10.606,wav16k/STT_AB00247_0015_107960_to_118566.wav,ཁང་པའི་ཕྱི་ནས་ཡུད་ཆེ་བའི་བློ་བཟང་ཞིག་གྲགས་པ་དང་གོམ་སྒྲ་ཐག་ཇི་ཉེར་སྒྲོག་པ་དང་བསྟུན་ནས་ཡེ་ཤེས་དཔལ་བཟང་གིས་ཕོར་པ་འཇོག་སྒོམ་མ་བྱུང་གོང་ཁང་པའི་ནང་དུ་སྐྱེས་པ་གཟུགས་སྟོབས་ཆེན་པོ་ཞིག་
STT_PC0148_0162_1028899_to_1035759,ང་ཚོ་གི་ཆབ་སྲིད་དབུ་ཁྲིད་དེ་ཚོ། དབུ་ཁྲིད་དེ་ཚོ་འདེམས་པའི་སྐབས་ལ། ད་གཟོད་ང་ཚོར་རེ་བ་ཅིག་ཡོད་རེད། དེ་ཡིན་དུས།  ,nga tsho gi chab srid dbu khrid de tsho/_dbu khrid de tsho 'dems pa'i skabs la/_da gzod nga tshor re ba cig yod red/_de yin dus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0148_0162_1028899_to_1035759.wav,STT_PC,3,109,6.86,wav16k/STT_PC0148_0162_1028899_to_1035759.wav,ང་ཚོ་གི་ཆབ་སྲིད་དབུ་ཁྲིད་དེ་ཚོ། དབུ་ཁྲིད་དེ་ཚོ་འདན་པའི་སྐབས་ལ། དག་ཟོ་ང་ཚོ་རེ་བ་བཅིད་ཀི་ཡོད་རེད། དེ་ཡིན་དུས།
STT_NS_M0486_0252_2006071_to_2008149,ང་ཚོ་བང་སྒྲིག་གི་རཱ། བང་སྒྲིག ,nga tsho bang sgrig gi rA/_bang sgrig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0486_0252_2006071_to_2008149.wav,STT_NS,3,30,2.078,wav16k/STT_NS_M0486_0252_2006071_to_2008149.wav,ང་ཚོ་བང་སྒྲིག་གི་རཱ། བང་སྒྲིག
STT_NS_M0486_0255_2028455_to_2030522,ཨེ་ནས་སོ་སོའི་ཁ་ལག་བཞག་ས་སྒང་བཞག་ཡ་རེད་ཤག་ཡོད་བ།  ,e nas so so'i kha lag bzhag sa sgang bzhag ya red shag yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0486_0255_2028455_to_2030522.wav,STT_NS,3,50,2.067,wav16k/STT_NS_M0486_0255_2028455_to_2030522.wav,ཨེ་ནས་སོ་སོ་ཁ་ལག་བཞག་ས་སྒང་བཞག་ཡ་རེད་ཤག་ཡོད་བ།
